,شماره درس,گروه درس,نام درس,واحد,روز ارائه درس,مقطع درس,ساعت مجازی,کد ساعت,دانشکده,استاد
2505,3620018,02,ريزپردازنده و زبان اسمبلي,3,چهار شنبه,کارشناسی,08:00-09:00,1,مهندسی کامپیوتر,حسين ماهوش محمدي
2506,3620018,02,ريزپردازنده و زبان اسمبلي,3,شنبه,کارشناسی,09:00-10:00,2,مهندسی کامپیوتر,حسين ماهوش محمدي
2511,3620019,01,شبكه هاي كامپيوتري,3,شنبه,کارشناسی,11:00-12:00,4,مهندسی کامپیوتر,ندا مقيم
2512,3620019,01,شبكه هاي كامپيوتري,3,دو شنبه,کارشناسی,13:30-14:30,6,مهندسی کامپیوتر,ندا مقيم
2519,3620022,04,آزمايشگاه سيستم هاي عامل,1,جمعه,کارشناسی,15:30-16:30,8,مهندسی کامپیوتر,مریم طائبی
2540,3620031,02,آزمايشگاه مهندسي نرم افزار,1,جمعه,کارشناسی,12:00-13:00,5,مهندسی کامپیوتر,رجايي ريزي زهرا 
2563,3620057,01,پايگاه داده ها,3,پنجشنبه,کارشناسی,11:00-12:00,4,مهندسی کامپیوتر,محمدعلي نعمت بخش
2564,3620057,01,پايگاه داده ها,3,چهار شنبه,کارشناسی,11:00-12:00,4,مهندسی کامپیوتر,محمدعلي نعمت بخش
2566,3620058,01,طراحي زبان هاي برنامه سازي,3,جمعه,کارشناسی,13:30-14:30,6,مهندسی کامپیوتر,مهيار حسن پوركليدسر
2567,3620058,01,طراحي زبان هاي برنامه سازي,3,سه شنبه,کارشناسی,16:30-17:30,9,مهندسی کامپیوتر,مهيار حسن پوركليدسر
2569,3620059,01,مهندسي نرم افزار,3,جمعه,کارشناسی,18:30-19:30,11,مهندسی کامپیوتر,افسانه فاطمي خوراسگاني
2570,3620059,01,مهندسي نرم افزار,3,سه شنبه,کارشناسی,18:30-19:30,11,مهندسی کامپیوتر,افسانه فاطمي خوراسگاني
